id,prompt,annotator_category,annotator_confidence,notes
1,Assess whehter the turn count exceeded 2.,SYMBOLIC_COUNT,high,
2,Did the interaction require over 12 turns?,SYMBOLIC_COUNT,high,
3,Assess twitter-appropriate communication style...,SEMANTIC,high,
4,Flag if the conversation exceeded 4 messages.,SYMBOLIC_COUNT,high,
5,"If the customer asked “why is it delayed,” did the agent respond to cause vs. generic apologies?",SEMANTIC,high,
6,Confirm 'escalated' is present.,SYMBOLIC_COUNT,medium,
7,Did the agent add an internal note?,SYMBOLIC_METADATA,high,
8,"When the customer asks 'Why can’t I cancel online?' and the exchange exceeds 7 turns, did the agent stay professional and avoid sounding defensive?",HYBRID,high,
9,Dod the cusromer and agent exxhamge over 25 messages?,SYMBOLIC_COUNT,high,
10,Can we verify the customer's account balance against Shopify?,UNSUPPORTED,high,
11,"If there was a gap over 13 minutes before the agent’s final message, did the closing message show genuine care and recognition of the customer’s frustration...",HYBRID,high,
12,Check if tagged as 'vip'.,SYMBOLIC_METADATA,high,
13,"If this came via phone, was the communication style suitable?",HYBRID,high,
14,Did the agent show patience immediately and acknowledge the outage before addressing the escalation request,SEMANTIC,high,
15,Did the agent respond within 2 min?,SYMBOLIC_TIME,high,
16,Catalog instances of 11 minutes threshold violations.,SYMBOLIC_TIME,high,
17,Did the customer come back with the same usage issue within 30 days?,HYBRID,high,
18,"If resolution time was under 20 minutes, did the agent show understanding of why the customer believed the return policy applied to their situation?",HYBRID,high,
19,Did the agent take longer than 12 hrs to get back??,SYMBOLIC_TIME,high,
20,Was there a follow-up refund complaint after this ticket was closed?,HYBRID,low,"I don't think we support ticket status changes, so we won't really know which message is a follow up message."
21,Detect phone conversations.,SYMBOLIC_METADATA,high,
22,Track conversations exceeding the 3 message mark.,SYMBOLIC_COUNT,high,
23,"Determine whether the agent’s initial response made the customer feel heard by acknowledging their billing error report and apologizing immediately, rather than delaying the apology or focusing on policy language.",SEMANTIC,high,
24,Chrck if channwl is SMS,SYMBOLIC_METADATA,high,
25,Did ut go ovee 5 exchanges before rwachibg resolution?,HYBRID,high,
26,Detect quality degradation in conversations exceeding 5 turns.,HYBRID,high,
27,"On email tickets where the agent sent a template response, assess whether the message still felt personalized to the billing dispute details.",HYBRID,high,
