prompt,category,subcategory,style,noise,params,top_category
Agent must apologize in the greeting for the billing error—verify this happened.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Verify 'billing' tickets received appropriate urgency.,HYBRID,hybrid,instruction,light,,HYBRID
"If the customer remained confused after the reset instructions, did the agent conditionally offer additional options and then end appropriately once the customer understood?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Did the agent’s resolution reduce repeat contacts in the next 30 days?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
"For 'complaint' tickets, was the response quality adequate?",HYBRID,hybrid,question,light,,HYBRID
was the whatsapp rwsponse both timely qnd genuonely helpful?,HYBRID,hybrid,question,heavy,,HYBRID
Detect whether the agent’s communication style matched the seriousness of a breach while closing the case.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Evaluate if the agent ends appropriately with a final offer of assistance.,SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Verify this came via chat.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""chat""}",SYMBOLIC_METADATA
Identify if source was chat.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""chat""}",SYMBOLIC_METADATA
Was the conversation shorter or longer than 17 turns?,SYMBOLIC_COUNT,count_moderate,question,light,"{""threshold"": 17}",SYMBOLIC_COUNT
"For whatsapp conversations, was the opening appropriate for the channel?",HYBRID,hybrid,question,none,,HYBRID
Did this customer have unresolved return problems in the last 20 tickets?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Did the agent provide alternatives (pause/downgrade) without guilt-tripping the customer?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Confirm the thread had fewer than 50 messages.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 50}",SYMBOLIC_COUNT
"If initial troubleshooting identified a likely cause (weather/ATC), did the agent communicate that clearly and then end with an offer to help with anything else?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Did agent end convo properly—summary + offer help (and not robotic).,SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Did the agent both respond within 10 minutes and address the core issue?,HYBRID,hybrid,question,medium,,HYBRID
Would the customer recommend the service after this return interaction?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Were 15 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 15}",SYMBOLIC_COUNT
Did the agent provide an appropriate final statement after the apology?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Monitor for late initial responses.,SYMBOLIC_TIME,time_implicit,instruction,none,"{""threshold"": 7, ""unit"": ""seconds""}",SYMBOLIC_TIME
Determine if the exchange surpassed 8 messages.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 8}",SYMBOLIC_COUNT
"Did the agent open with acknowledgment and self identification, or just jump into escalation?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"If the customer asked about warranty coverage, did agent’s next steps stay on that, not returns?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
Flag cases of prolonged back-and-forth.,SYMBOLIC_COUNT,count_implicit,instruction,none,"{""threshold"": 18}",SYMBOLIC_COUNT
Did they leave a note for the team?,SYMBOLIC_METADATA,meta_notes,question,none,"{""subtype"": ""notes"", ""value"": null}",SYMBOLIC_METADATA
"Detect whether, after validating the traveler’s feelings, the agent gave actionable guidance during initial troubleshooting for the delay (not just canned lines).",SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Did the agent write more than 50 responses?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 50}",SYMBOLIC_COUNT
"If this came via whatsapp, was the communication style suitable?",HYBRID,hybrid,question,none,,HYBRID
Compare this agent's handling against the customer's log in the app.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"If this came via phone, was the communication style suitable?",HYBRID,hybrid,question,none,,HYBRID
Did the agent confirm which defect was seen and give tailored next steps?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Confirm the greeting includes: apology + mention of billing error (absolute requirement).,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Detect whether chat etuqueyre was maintaobed undet ptessure.,HYBRID,hybrid,instruction,light,,HYBRID
"If resolution time was over 5 days, evaluate whether the final resolution indicates the agent fully understood the customer’s upgrade goal, constraints, and acceptance criteria.",HYBRID,llm_generated,instruction,light,,HYBRID
"If tagged 'billing' and over 60 turns, was urgency maintained?",HYBRID,hybrid,question,none,,HYBRID
Did the agent confirm the delivery window the customer was expecting?,SEMANTIC_COMPREHENSION,llm_generated,question,medium,,SEMANTIC
"For shipping complaints where the agent’s first reply took 6–10 minutes, assess whether the agent opened with an apology that matched the customer’s emotional state.",HYBRID,llm_generated,instruction,medium,,HYBRID
Did the agent restate the customer’s delivery delay in their own words??,SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
"Check for a proper conversation finish: after initial troubleshooting, does agent acknowledge refund request status + offer more help.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Assess conversation efficiency.,SYMBOLIC_COUNT,count_implicit,instruction,none,"{""threshold"": 9}",SYMBOLIC_COUNT
"When the conversation exceeded 5 turns, evaluate whether the initial greeting still reads as appropriate given the upgrade request context.",HYBRID,llm_generated,instruction,none,,HYBRID
Aggregate the customer's return pattern from the last 5 contacts.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
