prompt,category,conversation_idx,ground_truth,ground_truth_source,scenario,params,actual_response_time_min,actual_count,A_dateutil_answer,B_strptime_answer,C_pandas_answer
Was the response delivered before 18 hours passed?,SYMBOLIC_TIME,0,yes,deterministic,clear_yes,"{""threshold"": 18, ""unit"": ""hours"", ""operator"": ""<=""}",540.0,,yes,yes,yes
Was the query addressed within 22 minutes?,SYMBOLIC_TIME,1,no,deterministic,clear_no,"{""threshold"": 22, ""unit"": ""minutes"", ""operator"": ""<=""}",44.0,,no,no,no
Measure wheather the first response took less than 15 hours.,SYMBOLIC_TIME,3,yes,deterministic,clear_yes,"{""threshold"": 15, ""unit"": ""hours"", ""operator"": ""<=""}",450.0,,yes,yes,yes
Note if the response gap was wider than 16 sec.,SYMBOLIC_TIME,4,yes,deterministic,clear_no,"{""threshold"": 16, ""unit"": ""sec"", ""operator"": "">""}",0.53,,yes,yes,yes
Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,8,yes,deterministic,boundary,"{""threshold"": 25, ""unit"": ""hours"", ""operator"": ""<=""}",1425.0,,yes,yes,yes
Was the first reply sent in under 26 hrs?,SYMBOLIC_TIME,9,yes,deterministic,clear_yes,"{""threshold"": 26, ""unit"": ""hrs"", ""operator"": ""<=""}",780.0,,yes,yes,yes
Ascertain whether 15 sec was exceeded.,SYMBOLIC_TIME,10,yes,deterministic,clear_no,"{""threshold"": 15, ""unit"": ""sec"", ""operator"": "">""}",0.5,,yes,yes,yes
Did the representative respond in less than 300 hours?,SYMBOLIC_TIME,11,yes,deterministic,boundary,"{""threshold"": 300, ""unit"": ""hours"", ""operator"": ""<=""}",17100.0,,yes,yes,yes
Was there an answer from the agent within 24 hours?,SYMBOLIC_TIME,13,no,deterministic,clear_no,"{""threshold"": 24, ""unit"": ""hours"", ""operator"": ""<=""}",2880.0,,no,no,no
Was the query addressed within 26 sec?,SYMBOLIC_TIME,16,no,deterministic,clear_no,"{""threshold"": 26, ""unit"": ""sec"", ""operator"": ""<=""}",0.87,,no,no,no
pinpoint responses that came after 21 sec.,SYMBOLIC_TIME,17,no,deterministic,boundary,"{""threshold"": 21, ""unit"": ""sec"", ""operator"": "">""}",0.33,,no,no,no
Measure whether the first response took less than 120 hours.,SYMBOLIC_TIME,18,yes,deterministic,clear_yes,"{""threshold"": 120, ""unit"": ""hours"", ""operator"": ""<=""}",3600.0,,yes,yes,yes
Was the customer's message acknowledged w/in 18 min?,SYMBOLIC_TIME,19,no,deterministic,clear_no,"{""threshold"": 18, ""unit"": ""min"", ""operator"": ""<=""}",36.0,,no,no,no
Was the agent's first message within 22 minutes of the query?,SYMBOLIC_TIME,22,no,deterministic,clear_no,"{""threshold"": 22, ""unit"": ""minutes"", ""operator"": ""<=""}",44.0,,no,no,no
Did the reply arrive before the 90 sec mark?,SYMBOLIC_TIME,26,yes,deterministic,boundary,"{""threshold"": 90, ""unit"": ""sec"", ""operator"": ""<=""}",1.43,,yes,yes,yes
Determine if first response exceeded 14 minutes.,SYMBOLIC_TIME,28,yes,deterministic,clear_no,"{""threshold"": 14, ""unit"": ""minutes"", ""operator"": "">""}",28.0,,yes,yes,yes
Was the first contact from the agent made within 180 sec?,SYMBOLIC_TIME,31,no,deterministic,clear_no,"{""threshold"": 180, ""unit"": ""sec"", ""operator"": ""<=""}",6.0,,no,no,no
Was the time to first response shorter than 19 hrs?,SYMBOLIC_TIME,32,yes,deterministic,boundary,"{""threshold"": 19, ""unit"": ""hrs"", ""operator"": ""<=""}",1083.0,,yes,yes,yes
Examine if the response was sent before the 26 hours limit.,SYMBOLIC_TIME,33,yes,deterministic,clear_yes,"{""threshold"": 26, ""unit"": ""hours"", ""operator"": ""<=""}",780.0,,yes,yes,yes
Was the customer kept waiting beyond 30 seconds?,SYMBOLIC_TIME,34,yes,deterministic,clear_no,"{""threshold"": 30, ""unit"": ""seconds"", ""operator"": "">""}",1.0,,yes,yes,yes
Did the customer need to wait past 22 sec for acknowledgment?,SYMBOLIC_TIME,36,no,deterministic,clear_yes,"{""threshold"": 22, ""unit"": ""sec"", ""operator"": "">""}",0.18,,no,no,no
Note if the response gap was wider than 28 hrs.,SYMBOLIC_TIME,39,no,deterministic,clear_yes,"{""threshold"": 28, ""unit"": ""hrs"", ""operator"": "">""}",840.0,,no,no,no
Verify the response was sent under 4 minutes.,SYMBOLIC_TIME,40,no,deterministic,clear_no,"{""threshold"": 4, ""unit"": ""minutes"", ""operator"": ""<=""}",8.0,,no,no,no
Examine if the response was sent before the 2 min limit.,SYMBOLIC_TIME,43,no,deterministic,clear_no,"{""threshold"": 2, ""unit"": ""min"", ""operator"": ""<=""}",4.0,,no,no,no
Inspect if the first reply came under 13 sec.,SYMBOLIC_TIME,44,yes,deterministic,boundary,"{""threshold"": 13, ""unit"": ""sec"", ""operator"": ""<=""}",0.21,,yes,yes,yes
Log responses that exceeded the 120 sec mark.,SYMBOLIC_TIME,46,yes,deterministic,clear_no,"{""threshold"": 120, ""unit"": ""sec"", ""operator"": "">""}",4.0,,yes,yes,yes
Did the customer receive a reply within 90 seconds,SYMBOLIC_TIME,48,yes,deterministic,clear_yes,"{""threshold"": 90, ""unit"": ""seconds"", ""operator"": ""<=""}",0.75,,yes,yes,yes
Did the agent take longer than 5 min to get back?,SYMBOLIC_TIME,51,no,deterministic,clear_yes,"{""threshold"": 5, ""unit"": ""min"", ""operator"": "">""}",2.5,,no,no,no
Did the agent's response arrive in under 18 min?,SYMBOLIC_TIME,52,no,deterministic,clear_no,"{""threshold"": 18, ""unit"": ""min"", ""operator"": ""<=""}",36.0,,no,no,no
Record whether the customer waited beyond 24 sec.,SYMBOLIC_TIME,54,no,deterministic,clear_yes,"{""threshold"": 24, ""unit"": ""sec"", ""operator"": "">""}",0.2,,no,no,no
Did the customer end up waiting over 60 sec?,SYMBOLIC_TIME,56,no,deterministic,boundary,"{""threshold"": 60, ""unit"": ""sec"", ""operator"": "">""}",0.95,,no,no,no
Did the agent take longer than 30 minutes to get back?,SYMBOLIC_TIME,57,no,deterministic,clear_yes,"{""threshold"": 30, ""unit"": ""minutes"", ""operator"": "">""}",15.0,,no,no,no
Did the first reply take less than 16 hrs?,SYMBOLIC_TIME,59,yes,deterministic,boundary,"{""threshold"": 16, ""unit"": ""hrs"", ""operator"": ""<=""}",912.0,,yes,yes,yes
Examine if the response was sent before the 30 seconds limit.,SYMBOLIC_TIME,60,yes,deterministic,clear_yes,"{""threshold"": 30, ""unit"": ""seconds"", ""operator"": ""<=""}",0.25,,yes,yes,yes
did the customer get an answer before 14 minutes elapsed?,SYMBOLIC_TIME,63,yes,deterministic,clear_yes,"{""threshold"": 14, ""unit"": ""minutes"", ""operator"": ""<=""}",7.0,,yes,yes,yes
Track if the turnaround time surpassed 5 seconds.,SYMBOLIC_TIME,305,yes,deterministic,boundary,"{""threshold"": 5, ""unit"": ""seconds"", ""operator"": "">""}",0.13,,yes,yes,yes
Was the first reply sent in under 15 hours?,SYMBOLIC_TIME,306,yes,deterministic,boundary,"{""threshold"": 15, ""unit"": ""hours"", ""operator"": ""<=""}",855.0,,yes,yes,yes
Was the initial response to the customer sent within 300 min?,SYMBOLIC_TIME,307,yes,deterministic,clear_yes,"{""threshold"": 300, ""unit"": ""min"", ""operator"": ""<=""}",108.72,,yes,yes,yes
Verify the response was sent under 22 hours.,SYMBOLIC_TIME,308,no,deterministic,clear_no,"{""threshold"": 22, ""unit"": ""hours"", ""operator"": ""<=""}",1784.71,,no,no,no
