id,prompt,annotator_category,annotator_confidence,notes
1,Assess whehter the turn count exceeded 2.,,,
2,Did the interaction require over 12 turns?,,,
3,Assess twitter-appropriate communication style...,,,
4,Flag if the conversation exceeded 4 messages.,,,
5,"If the customer asked “why is it delayed,” did the agent respond to cause vs. generic apologies?",,,
6,Confirm 'escalated' is present.,,,
7,Did the agent add an internal note?,,,
8,"When the customer asks 'Why can’t I cancel online?' and the exchange exceeds 7 turns, did the agent stay professional and avoid sounding defensive?",,,
9,Dod the cusromer and agent exxhamge over 25 messages?,,,
10,Can we verify the customer's account balance against Shopify?,,,
11,"If there was a gap over 13 minutes before the agent’s final message, did the closing message show genuine care and recognition of the customer’s frustration...",,,
12,Check if tagged as 'vip'.,,,
13,"If this came via phone, was the communication style suitable?",,,
14,Did the agent show patience immediately and acknowledge the outage before addressing the escalation request,,,
15,Did the agent respond within 2 min?,,,
16,Catalog instances of 11 minutes threshold violations.,,,
17,Did the customer come back with the same usage issue within 30 days?,,,
18,"If resolution time was under 20 minutes, did the agent show understanding of why the customer believed the return policy applied to their situation?",,,
19,Did the agent take longer than 12 hrs to get back??,,,
20,Was there a follow-up refund complaint after this ticket was closed?,,,
21,Detect phone conversations.,,,
22,Track conversations exceeding the 3 message mark.,,,
23,"Determine whether the agent’s initial response made the customer feel heard by acknowledging their billing error report and apologizing immediately, rather than delaying the apology or focusing on policy language.",,,
24,Chrck if channwl is SMS,,,
25,Did ut go ovee 5 exchanges before rwachibg resolution?,,,
26,Detect quality degradation in conversations exceeding 5 turns.,,,
27,"On email tickets where the agent sent a template response, assess whether the message still felt personalized to the billing dispute details.",,,
28,Verify the customer's contact preferences in CRM.,,,
29,Identify 'vip' cases.,,,
30,Validate that the agent responded inside 60 hours.,,,
31,Determine if the agent greeted the customer and apologized for the billing error in the same opening message.,,,
32,Is the 'retention' tag present on this ticket?,,,
33,Check whether follow up message has a concrete action list for both sides (customer + company).,,,
34,Identify poor response speed,,,
35,Spot threads that took over 50 replies.,,,
36,Has the customer filed more than 5 subscription requests before?,,,
37,Confirm if agent asked “does that help?” and ended conversation cleanly.,,,
38,Were there fewer than 7 messages?,,,
39,What is the customer's billing history in Salesforce?,,,
40,Was the email response both timely and genuinely helpful?,,,
41,Assess if the agent recognized the customer’s circumstances and gave options at the end.,,,
