model,run,idx,category,prompt,answer,ground_truth,correct,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_ms
o3-mini,0,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,526,512,1065,6081.1
o3-mini,0,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,527,512,1119,4519.9
o3-mini,0,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,270,256,565,3094.5
o3-mini,0,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,463,448,1051,4402.2
o3-mini,0,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,782,768,1125,6662.7
o3-mini,0,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,79,64,390,1325.2
o3-mini,0,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,no,yes,0,268,79,64,347,1330.2
o3-mini,0,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,335,320,617,3732.1
o3-mini,0,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,no,yes,0,359,527,512,886,4867.5
o3-mini,0,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,79,64,335,1024.8
o3-mini,0,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,78,64,469,1330.2
o3-mini,0,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,270,256,552,3309.8
o3-mini,0,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,210,192,496,2514.6
o3-mini,0,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,462,448,757,4592.1
o3-mini,0,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,206,192,445,2161.1
o3-mini,0,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,79,64,369,1165.3
o3-mini,0,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,15,0,330,1305.3
o3-mini,0,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,334,320,572,3161.4
o3-mini,0,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,no,yes,0,222,207,192,429,2003.2
o3-mini,0,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,79,64,423,1150.3
o3-mini,0,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,526,512,1040,4518.0
o3-mini,0,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,399,384,1004,4327.3
o3-mini,0,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,271,256,689,2796.1
o3-mini,0,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,590,576,778,6302.5
o3-mini,0,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,334,320,521,3282.3
o3-mini,0,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,207,192,445,2464.3
o3-mini,0,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,15,0,278,1276.5
o3-mini,0,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,143,128,546,1891.0
o3-mini,0,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,15,0,202,1124.4
o3-mini,0,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,15,0,204,880.9
o3-mini,0,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,271,256,529,2792.0
o3-mini,0,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,207,192,424,1967.8
o3-mini,0,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,334,320,691,3269.9
o3-mini,0,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,79,64,467,1146.5
o3-mini,0,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,207,192,449,2060.5
o3-mini,0,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,143,128,736,1911.5
o3-mini,0,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,yes,no,0,308,142,128,450,1642.6
o3-mini,0,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,271,256,690,3050.7
o3-mini,0,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,208,192,473,2125.5
o3-mini,0,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,527,512,1031,5261.4
o3-mini,0,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,78,64,265,1745.6
o3-mini,0,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,15,0,254,1016.3
o3-mini,0,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,591,576,1184,5166.9
o3-mini,0,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,79,64,299,1384.4
o3-mini,0,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,142,128,507,2152.5
o3-mini,0,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,143,128,273,2000.5
o3-mini,0,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,526,512,1025,4709.1
o3-mini,0,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,79,64,369,1581.9
o3-mini,0,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,15,0,204,923.3
o3-mini,0,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,271,256,482,3171.6
o3-mini,1,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,655,640,1194,6365.4
