id,source_idx,category,prompt,conversation,annotator_answer,notes
1,257,HYBRID,assess email-appropriate communication style.,"Channel: phone | Tags: refund, technical, bug

[2025-01-15 10:00:00] CUSTOMER: Hi, I need help with the subscription renewal.
[2025-01-15 10:09:57] AGENT: I apologize for the inconvenience with the subscription renewal. Let me investigate.
[2025-01-15 10:11:13] CUSTOMER: That's still not working for me.
[2025-01-15 10:14:29] AGENT: I've escalated the the subscription renewal matter to our specialist team.
[2025-01-15 10:17:48] CUSTOMER: Could you explain further?",no,
2,235,HYBRID,"If the agent added internal notes, assess whether they offered an appropriate follow-up channel before ending the conversation.","Channel: email | Tags: feedback, bug, escalated

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:13:37] AGENT: I see the issue with the integration setup. Here's what I can do.
[2025-01-15 10:16:48] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:20:40] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:23:08] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:26:31] AGENT: Could you try again? I've updated the the integration setup settings.
[2025-01-15 10:31:06] CUSTOMER: Could you explain further?",No,
3,217,SEMANTIC,Confirm the agent didn’t act annoyed when the customer declined alternatives.,"Channel: phone | Tags: escalated, feature_request, technical

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the mobile app crash but it's not working.
[2025-01-15 10:12:14] AGENT: Let me review your the mobile app crash situation.
[2025-01-15 10:13:16] CUSTOMER: OK, I'll try that.
[2025-01-15 10:15:47] AGENT: I've applied a fix for the the mobile app crash issue.
[2025-01-15 10:16:44] CUSTOMER: Great, that fixed it!
[2025-01-15 10:19:02] AGENT: Could you try again? I've updated the the mobile app crash settings.
[2025-01-15 10:23:08] CUSTOMER: Great, that fixed it!
[2025-01-15 10:26:47] AGENT: I've checked and here's what I found regarding the mobile app crash.
[2025-01-15 10:28:00] CUSTOMER: I appreciate the quick response.",yes,
4,239,HYBRID,"If an urgent tag is present, did the agent’s first line convey calm reassurance appropriate to an upgrade request?","Channel: email | Tags: feedback

[2025-01-15 10:00:00] CUSTOMER: Hello, I'm having an issue with the mobile app crash.
[2025-01-15 10:00:44] AGENT: Thank you for reaching out. I'll check on the mobile app crash right away.
[2025-01-15 10:01:18] CUSTOMER: OK, I'll try that.
[2025-01-15 10:03:20] AGENT: Could you try again? I've updated the the mobile app crash settings.
[2025-01-15 10:07:22] CUSTOMER: Could you explain further?
[2025-01-15 10:12:22] AGENT: I've escalated the the mobile app crash matter to our specialist team.
[2025-01-15 10:16:00] CUSTOMER: Thank you, that helps.",no,
5,195,SEMANTIC,"Determine whether the greeting was aligned with the customer’s frustration about a late package, and included a quick check for understanding.","Channel: phone | Tags: urgent, technical

[2025-01-15 10:00:00] CUSTOMER: I've been trying to the integration setup but it's not working.
[2025-01-15 10:06:59] AGENT: I see the issue with the integration setup. Here's what I can do.
[2025-01-15 10:07:47] CUSTOMER: Great, that fixed it!
[2025-01-15 10:09:00] AGENT: The the integration setup issue should now be resolved. Please verify.
[2025-01-15 10:11:55] CUSTOMER: Thank you, that helps.
[2025-01-15 10:14:00] AGENT: I've applied a fix for the the integration setup issue.
[2025-01-15 10:17:29] CUSTOMER: That's still not working for me.
[2025-01-15 10:19:36] AGENT: Please don't hesitate to reach out if you need more help.",no,
6,253,HYBRID,"For cases with internal notes present, evaluate whether the agent’s closing acknowledged the customer’s effort and offered continued help.","Channel: phone | Tags: billing, refund

[2025-01-15 10:00:00] CUSTOMER: Quick question about the billing charge.
[2025-01-15 10:23:30] AGENT: I apologize for the inconvenience with the billing charge. Let me investigate.
[2025-01-15 10:27:58] CUSTOMER: Could you explain further?
[2025-01-15 10:30:20] AGENT: I've checked and here's what I found regarding the billing charge.
[2025-01-15 10:34:45] CUSTOMER: OK, I'll try that.
[2025-01-15 10:38:37] AGENT: The the billing charge issue should now be resolved. Please verify.
[2025-01-15 10:43:18] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:47:18] AGENT: I've escalated the the billing charge matter to our specialist team.
[2025-01-15 10:48:02] CUSTOMER: Great, that fixed it!",No,
7,245,HYBRID,Evaluate both response speed (15 minute threshold) and helpfulness.,"Channel: email | Tags: bug, technical

[2025-01-15 10:00:00] CUSTOMER: Urgent: service outage is causing problems for our team.
[2025-01-15 10:00:31] AGENT: Let me review your service outage situation.
[2025-01-15 10:01:51] CUSTOMER: Thank you, that helps.
[2025-01-15 10:05:08] AGENT: Could you try again? I've updated the service outage settings.
[2025-01-15 10:09:08] CUSTOMER: OK, I'll try that.
[2025-01-15 10:11:04] AGENT: I've checked and here's what I found regarding service outage.
[2025-01-15 10:14:32] CUSTOMER: Great, that fixed it!
[2025-01-15 10:18:43] AGENT: Please don't hesitate to reach out if you need more help.",yes,
8,268,HYBRID,"If this came via twitter, was communication style suitable?","Channel: email | Tags: billing, refund, technical

[2025-01-15 10:00:00] CUSTOMER: Hi, I need help with product returns.
[2025-01-15 10:18:32] AGENT: I see the issue with product returns. Here's what I can do.
[2025-01-15 10:19:31] CUSTOMER: Could you explain further?
[2025-01-15 10:23:45] AGENT: I've checked and here's what I found regarding product returns.
[2025-01-15 10:28:12] CUSTOMER: OK, I'll try that.
[2025-01-15 10:31:02] AGENT: Glad I could help. Have a great day!",no,
9,193,SEMANTIC,"did the agent give clear final confirmation after checking your understanding, or did they just stop replying?","Channel: email | Tags: 

[2025-01-15 10:00:00] CUSTOMER: Can someone help me with my account login?
[2025-01-15 10:22:26] AGENT: I see the issue with my account login. Here's what I can do.
[2025-01-15 10:26:50] CUSTOMER: Is there anything else I should know?
[2025-01-15 10:31:15] AGENT: I've applied a fix for the my account login issue.
[2025-01-15 10:35:51] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:39:33] AGENT: Could you try again? I've updated the my account login settings.
[2025-01-15 10:43:27] CUSTOMER: Great, that fixed it!
[2025-01-15 10:47:16] AGENT: I've applied a fix for the my account login issue.
[2025-01-15 10:51:16] CUSTOMER: OK, I'll try that.
[2025-01-15 10:53:05] AGENT: Please don't hesitate to reach out if you need more help.",yes,
10,247,HYBRID,"If the customer cites a previous case number in an email, evaluate whether the agent used that history effectively to resolve the billing dispute faster.","Channel: phone | Tags: billing, technical

[2025-01-15 10:00:00] CUSTOMER: Hello, I'm having an issue with the subscription renewal.
[2025-01-15 10:18:22] AGENT: I understand, let me look into the subscription renewal for you.
[2025-01-15 10:23:03] CUSTOMER: OK, I'll try that.
[2025-01-15 10:26:30] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:29:07] CUSTOMER: I appreciate the quick response.
[2025-01-15 10:29:53] AGENT: The the subscription renewal issue should now be resolved. Please verify.
[2025-01-15 10:33:44] CUSTOMER: Could you explain further?
[2025-01-15 10:37:56] AGENT: I've checked and here's what I found regarding the subscription renewal.
[2025-01-15 10:42:08] CUSTOMER: That's still not working for me.",no,
