source_idx,category,prompt,gpt5_2_answer
257,HYBRID,assess email-appropriate communication style.,no
235,HYBRID,"If the agent added internal notes, assess whether they offered an appropriate follow-up channel before ending the conversation.",no
217,SEMANTIC,Confirm the agent didn’t act annoyed when the customer declined alternatives.,yes
239,HYBRID,"If an urgent tag is present, did the agent’s first line convey calm reassurance appropriate to an upgrade request?",no
195,SEMANTIC,"Determine whether the greeting was aligned with the customer’s frustration about a late package, and included a quick check for understanding.",no
253,HYBRID,"For cases with internal notes present, evaluate whether the agent’s closing acknowledged the customer’s effort and offered continued help.",no
245,HYBRID,Evaluate both response speed (15 minute threshold) and helpfulness.,yes
268,HYBRID,"If this came via twitter, was communication style suitable?",no
193,SEMANTIC,"did the agent give clear final confirmation after checking your understanding, or did they just stop replying?",yes
247,HYBRID,"If the customer cites a previous case number in an email, evaluate whether the agent used that history effectively to resolve the billing dispute faster.",no
266,HYBRID,"If tagged 'legal' and over 10 turns, was urgency maintained?",no
244,HYBRID,"If the ticket is urgent and was transferred at least once, evaluate whether the greeting after transfer re-established rapport appropriately for the upgrade request.",no
229,SEMANTIC,Detect whether the agent used a courteous final line and offered extra help after handling the lost password.,no
240,HYBRID,"For VIP return tickets, check whether the greeting used the customer’s name (when available) and felt respectful.",no
219,SEMANTIC,"Did the agent pause to reflect the customer’s situation, then suggest keep-plan options?",no
265,HYBRID,"If tagged 'sensitive' and over 15 turns, was urgency maintained?",yes
213,SEMANTIC,Detect whether the agent’s greeting apology is tied to the billing error and not a generic sorry.,no
270,HYBRID,"For responses taking over 30 minutes, was there an apology?",no
205,SEMANTIC,Detect whether the greeting included a brief recap of what the customer is contacting about (late shipment).,no
199,SEMANTIC,"Did the agent ask any final check-in question before ending (e.g., anything else I can help with)?",yes
251,HYBRID,Assess handling appropriateness for 'sensitive' cases.,yes
269,HYBRID,"For responses taking over 3 minutes, was there an apology?",yes
211,SEMANTIC,"Check that agent didn’t twist customer’s request: customer asked escalate now due to locked account, not “wait 24 hours” unless that’s the stated policy AND they explained it.",yes
263,HYBRID,Assess handling appropriateness for 'urgent' cases.,no
242,HYBRID,"For upgrade requests resolved within 20 minutes, did the agent understand the customer’s priorities (cost vs. features) well enough to respond appropriately?",no
228,SEMANTIC,Did the agent show empathy for the lost password frustration when presenting the fix?,no
232,SEMANTIC,Confirm the agent addressed customer’s situation before offering pauses/discounts.,yes
224,SEMANTIC,"Check if agent ended the convo properly: confirm fix, offer more help, then finish.",yes
