idx,prompt,category,ground_truth,ground_truth_source,scenario,system_a_binary_answer,system_a_binary_tokens,system_a_binary_latency_ms,system_a_binary_correct,system_a_reject_answer,system_a_reject_tokens,system_a_reject_latency_ms,system_a_reject_correct,gt_tokens,conversation_json,params
0,Was the response delivered before 18 hours passed?,SYMBOLIC_TIME,yes,deterministic,clear_yes,yes,232,0.0,1,yes,370,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with a shipping delay."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Let me review your a shipping delay situation."", ""timestamp"": ""2025-01-15 19:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 19:00:57"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 19:00:53.473485"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-15 19:01:32.054808"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 19:01:53.054808"", ""is_public"": false, ""channel"": ""email""}], ""tags"": [""complaint""], ""channel"": ""email"", ""resolution_time_minutes"": 541.5}","{""threshold"": 18, ""unit"": ""hours""}"
1,Was the query addressed within 22 minutes?,SYMBOLIC_TIME,no,deterministic,clear_no,no,192,0.0,1,no,330,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to my account login but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your my account login situation."", ""timestamp"": ""2025-01-15 10:44:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:46:24.105888"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:47:36.085353"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""feedback"", ""escalated""], ""channel"": ""phone"", ""resolution_time_minutes"": 47.6}","{""threshold"": 22, ""unit"": ""minutes""}"
2,assess first-reply promptness.,SYMBOLIC_TIME,no,deterministic,boundary,no,222,0.0,1,yes,360,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""We've noticed an issue with my account login recently."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I see the issue with my account login. Here's what I can do."", ""timestamp"": ""2025-01-15 10:00:06"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Applied workaround. Permanent fix in next release."", ""timestamp"": ""2025-01-15 10:00:23"", ""is_public"": false, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:00:57.276053"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:05:11.215312"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""technical"", ""escalated""], ""channel"": ""chat"", ""resolution_time_minutes"": 5.2}","{""threshold"": 3, ""unit"": ""seconds""}"
3,Measure wheather the first response took less than 15 hours.,SYMBOLIC_TIME,yes,deterministic,clear_yes,no,229,0.0,0,no,367,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: the billing charge is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with the billing charge. Let me investigate."", ""timestamp"": ""2025-01-15 17:30:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 17:30:39"", ""is_public"": false, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 17:31:13.916606"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 17:32:40.483504"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""urgent"", ""complaint""], ""channel"": ""chat"", ""resolution_time_minutes"": 452.7}","{""threshold"": 15, ""unit"": ""hours""}"
4,Note if the response gap was wider than 16 sec.,SYMBOLIC_TIME,no,deterministic,clear_no,no,193,0.0,1,yes,331,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: service outage is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with service outage. Let me investigate."", ""timestamp"": ""2025-01-15 10:00:32"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:05:29.171305"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:09:04.975034"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""vip""], ""channel"": ""chat"", ""resolution_time_minutes"": 9.1}","{""threshold"": 16, ""unit"": ""sec""}"
5,Did the customer wait too long?,SYMBOLIC_TIME,no,deterministic,boundary,no,236,0.0,1,no,374,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: order cancellation is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with order cancellation. Let me investigate."", ""timestamp"": ""2025-01-15 10:00:06"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:00:53.870923"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the order cancellation settings."", ""timestamp"": ""2025-01-15 10:05:20.490182"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:06:47.899349"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Glad I could help. Have a great day!"", ""timestamp"": ""2025-01-15 10:09:04.719962"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""billing""], ""channel"": ""chat"", ""resolution_time_minutes"": 9.1}","{""threshold"": 4, ""unit"": ""seconds""}"
6,Audit the response against the 20 sec standard.,SYMBOLIC_TIME,yes,deterministic,clear_yes,no,274,0.0,0,reject,412,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: data export is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with data export. Let me investigate."", ""timestamp"": ""2025-01-15 10:00:10"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Checked logs \u2014 issue is on our backend."", ""timestamp"": ""2025-01-15 10:00:34"", ""is_public"": false, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:02:57.572099"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding data export."", ""timestamp"": ""2025-01-15 10:06:51.633282"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Applied workaround. Permanent fix in next release."", ""timestamp"": ""2025-01-15 10:07:01.633282"", ""is_public"": false, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:10:02.663720"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""feature_request"", ""refund""], ""channel"": ""chat"", ""resolution_time_minutes"": 10.0}","{""threshold"": 20, ""unit"": ""sec""}"
7,Did the agent meet the 17 hrs response target?,SYMBOLIC_TIME,no,deterministic,clear_no,yes,260,0.0,0,yes,398,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with API access."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Let me review your API access situation."", ""timestamp"": ""2025-01-16 20:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 20:04:28.892882"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the API access settings."", ""timestamp"": ""2025-01-16 20:06:10.935683"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-16 20:07:11.054770"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding API access."", ""timestamp"": ""2025-01-16 20:08:23.757364"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-16 20:13:11.287664"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""bug"", ""billing""], ""channel"": ""email"", ""resolution_time_minutes"": 2053.2}","{""threshold"": 17, ""unit"": ""hrs""}"
8,Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,yes,deterministic,boundary,yes,232,0.0,1,yes,370,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 API access hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Let me review your API access situation."", ""timestamp"": ""2025-01-16 09:45:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-16 09:47:47.068978"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the API access issue."", ""timestamp"": ""2025-01-16 09:48:58.335581"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 09:51:53.967919"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-16 09:56:33.025121"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [], ""channel"": ""chat"", ""resolution_time_minutes"": 1436.6}","{""threshold"": 25, ""unit"": ""hours""}"
9,Was the first reply sent in under 26 hrs?,SYMBOLIC_TIME,yes,deterministic,clear_yes,yes,292,0.0,1,yes,430,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 order cancellation hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on order cancellation right away."", ""timestamp"": ""2025-01-15 23:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 23:00:45.639795"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding order cancellation."", ""timestamp"": ""2025-01-15 23:05:31.316145"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 23:09:18.931196"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""The order cancellation issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 23:10:07.618576"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 23:14:04.393872"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 23:17:32.526594"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [], ""channel"": ""chat"", ""resolution_time_minutes"": 797.5}","{""threshold"": 26, ""unit"": ""hrs""}"
