prompt,category,conversation_json,conversation_idx,ground_truth,ground_truth_source,scenario,params,actual_response_time_min,actual_count
Was the response delivered before 18 hours passed?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with a shipping delay."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Let me review your a shipping delay situation."", ""timestamp"": ""2025-01-15 19:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 19:00:57"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 19:00:53.473485"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-15 19:01:32.054808"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer confirmed resolution."", ""timestamp"": ""2025-01-15 19:01:53.054808"", ""is_public"": false, ""channel"": ""email""}], ""tags"": [""complaint""], ""channel"": ""email"", ""resolution_time_minutes"": 541.5}",0,yes,deterministic,clear_yes,"{""threshold"": 18, ""unit"": ""hours"", ""operator"": ""<=""}",540.0,
Was the query addressed within 22 minutes?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to my account login but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your my account login situation."", ""timestamp"": ""2025-01-15 10:44:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:46:24.105888"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:47:36.085353"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""feedback"", ""escalated""], ""channel"": ""phone"", ""resolution_time_minutes"": 47.6}",1,no,deterministic,clear_no,"{""threshold"": 22, ""unit"": ""minutes"", ""operator"": ""<=""}",44.0,
Measure wheather the first response took less than 15 hours.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: the billing charge is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with the billing charge. Let me investigate."", ""timestamp"": ""2025-01-15 17:30:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Escalating to tier 2 support."", ""timestamp"": ""2025-01-15 17:30:39"", ""is_public"": false, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 17:31:13.916606"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 17:32:40.483504"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""urgent"", ""complaint""], ""channel"": ""chat"", ""resolution_time_minutes"": 452.7}",3,yes,deterministic,clear_yes,"{""threshold"": 15, ""unit"": ""hours"", ""operator"": ""<=""}",450.0,
Note if the response gap was wider than 16 sec.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: service outage is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with service outage. Let me investigate."", ""timestamp"": ""2025-01-15 10:00:32"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:05:29.171305"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:09:04.975034"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""vip""], ""channel"": ""chat"", ""resolution_time_minutes"": 9.1}",4,yes,deterministic,clear_no,"{""threshold"": 16, ""unit"": ""sec"", ""operator"": "">""}",0.53,
Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 API access hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Let me review your API access situation."", ""timestamp"": ""2025-01-16 09:45:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-16 09:47:47.068978"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the API access issue."", ""timestamp"": ""2025-01-16 09:48:58.335581"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-16 09:51:53.967919"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-16 09:56:33.025121"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [], ""channel"": ""chat"", ""resolution_time_minutes"": 1436.6}",8,yes,deterministic,boundary,"{""threshold"": 25, ""unit"": ""hours"", ""operator"": ""<=""}",1425.0,
Was the first reply sent in under 26 hrs?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 order cancellation hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on order cancellation right away."", ""timestamp"": ""2025-01-15 23:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 23:00:45.639795"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding order cancellation."", ""timestamp"": ""2025-01-15 23:05:31.316145"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 23:09:18.931196"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""The order cancellation issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 23:10:07.618576"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 23:14:04.393872"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 23:17:32.526594"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [], ""channel"": ""chat"", ""resolution_time_minutes"": 797.5}",9,yes,deterministic,clear_yes,"{""threshold"": 26, ""unit"": ""hrs"", ""operator"": ""<=""}",780.0,
Ascertain whether 15 sec was exceeded.,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 the mobile app crash hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on the mobile app crash."", ""timestamp"": ""2025-01-15 10:00:30"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:05:28.690326"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The the mobile app crash issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:07:39.513862"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:10:11.415120"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:11:42.083401"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""bug"", ""feature_request""], ""channel"": ""phone"", ""resolution_time_minutes"": 11.7}",10,yes,deterministic,clear_no,"{""threshold"": 15, ""unit"": ""sec"", ""operator"": "">""}",0.5,
Did the representative respond in less than 300 hours?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with the billing charge."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on the billing charge right away."", ""timestamp"": ""2025-01-27 07:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-27 07:00:48.198089"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-27 07:05:10.299647"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""billing""], ""channel"": ""chat"", ""resolution_time_minutes"": 17105.2}",11,yes,deterministic,boundary,"{""threshold"": 300, ""unit"": ""hours"", ""operator"": ""<=""}",17100.0,
Was there an answer from the agent within 24 hours?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with the integration setup."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into the integration setup for you."", ""timestamp"": ""2025-01-17 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-17 10:03:26.079121"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the integration setup."", ""timestamp"": ""2025-01-17 10:07:41.806569"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-17 10:12:21.925654"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""complaint"", ""urgent"", ""feedback""], ""channel"": ""email"", ""resolution_time_minutes"": 2892.4}",13,no,deterministic,clear_no,"{""threshold"": 24, ""unit"": ""hours"", ""operator"": ""<=""}",2880.0,
Was the query addressed within 26 sec?,SYMBOLIC_TIME,"{""messages"": [{""role"": ""customer"", ""text"": ""Can someone help me with the billing charge?"", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I see the issue with the billing charge. Here's what I can do."", ""timestamp"": ""2025-01-15 10:00:52"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:04:02.520171"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:04:54.655690"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""refund""], ""channel"": ""phone"", ""resolution_time_minutes"": 4.9}",16,no,deterministic,clear_no,"{""threshold"": 26, ""unit"": ""sec"", ""operator"": ""<=""}",0.87,
