prompt,category,ground_truth,svm_correct,tfidf_lr_correct,emb_lr_correct,ensemble_correct,keyword_correct
Was the response delivered before 18 hours passed?,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the query addressed within 22 minutes?,SYMBOLIC_TIME,no,1,1,1,1,1
Measure wheather the first response took less than 15 hours.,SYMBOLIC_TIME,yes,1,1,1,1,1
Note if the response gap was wider than 16 sec.,SYMBOLIC_TIME,yes,1,1,0,1,1
Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the first reply sent in under 26 hrs?,SYMBOLIC_TIME,yes,1,1,1,1,1
Ascertain whether 15 sec was exceeded.,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the representative respond in less than 300 hours?,SYMBOLIC_TIME,yes,1,1,1,1,1
Was there an answer from the agent within 24 hours?,SYMBOLIC_TIME,no,1,1,1,1,1
Was the query addressed within 26 sec?,SYMBOLIC_TIME,no,1,1,1,1,1
pinpoint responses that came after 21 sec.,SYMBOLIC_TIME,no,1,1,1,1,1
Measure whether the first response took less than 120 hours.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the customer's message acknowledged w/in 18 min?,SYMBOLIC_TIME,no,1,1,1,1,0
Was the agent's first message within 22 minutes of the query?,SYMBOLIC_TIME,no,1,1,1,1,1
Did the reply arrive before the 90 sec mark?,SYMBOLIC_TIME,yes,1,1,1,1,1
Determine if first response exceeded 14 minutes.,SYMBOLIC_TIME,yes,1,0,1,1,1
Was the first contact from the agent made within 180 sec?,SYMBOLIC_TIME,no,1,1,1,1,1
Was the time to first response shorter than 19 hrs?,SYMBOLIC_TIME,yes,1,1,1,1,1
Examine if the response was sent before the 26 hours limit.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the customer kept waiting beyond 30 seconds?,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the customer need to wait past 22 sec for acknowledgment?,SYMBOLIC_TIME,no,1,1,1,1,1
Note if the response gap was wider than 28 hrs.,SYMBOLIC_TIME,no,1,1,1,1,1
Verify the response was sent under 4 minutes.,SYMBOLIC_TIME,no,1,1,1,1,1
Examine if the response was sent before the 2 min limit.,SYMBOLIC_TIME,no,1,1,1,1,1
Inspect if the first reply came under 13 sec.,SYMBOLIC_TIME,yes,1,1,1,1,1
Log responses that exceeded the 120 sec mark.,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the customer receive a reply within 90 seconds,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the agent take longer than 5 min to get back?,SYMBOLIC_TIME,no,1,1,1,1,1
Did the agent's response arrive in under 18 min?,SYMBOLIC_TIME,no,1,1,1,1,1
Record whether the customer waited beyond 24 sec.,SYMBOLIC_TIME,no,1,1,1,1,1
Did the customer end up waiting over 60 sec?,SYMBOLIC_TIME,no,1,1,1,1,1
Did the agent take longer than 30 minutes to get back?,SYMBOLIC_TIME,no,1,1,1,1,1
Did the first reply take less than 16 hrs?,SYMBOLIC_TIME,yes,1,1,1,1,1
Examine if the response was sent before the 30 seconds limit.,SYMBOLIC_TIME,yes,1,1,1,1,1
did the customer get an answer before 14 minutes elapsed?,SYMBOLIC_TIME,yes,1,1,1,1,1
Track if the turnaround time surpassed 5 seconds.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the first reply sent in under 15 hours?,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the initial response to the customer sent within 300 min?,SYMBOLIC_TIME,yes,1,1,1,1,1
Verify the response was sent under 22 hours.,SYMBOLIC_TIME,no,1,1,1,1,1
Did the representative respond in less than 120 minutes?,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the customer end up waiting over 60 minutes?,SYMBOLIC_TIME,yes,1,1,1,1,1
Spot instances where the agent exceeded 2 seconds.,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the support rep answer within the 90 sec window...,SYMBOLIC_TIME,yes,1,1,1,1,1
Examine if the response was sent before the 27 seconds limit.,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the team member get back within 11 hrs?,SYMBOLIC_TIME,yes,1,1,1,1,1
confirm the reply was delivered within 27 hours.,SYMBOLIC_TIME,yes,1,1,1,1,1
Ascertain whether 20 minutes was exceeded.,SYMBOLIC_TIME,no,1,1,1,1,1
Measure whether the first response took less than 3 hrs.,SYMBOLIC_TIME,yes,1,1,1,1,1
Verify the response was sent under 11 hours.,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the customer end up waiting over 9 hrs?,SYMBOLIC_TIME,yes,1,1,1,1,1
Ascertain whether 7 min was exceeded.,SYMBOLIC_TIME,yes,1,1,1,1,1
pinpoint responses that came after 25 seconds.,SYMBOLIC_TIME,no,1,1,1,1,1
Did the customer receive a reply within 30 seconds?,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the time to first response shorter than 14 hours?,SYMBOLIC_TIME,yes,1,1,1,1,1
Spot instances where the agent exceeded 21 sec.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the initial response to the customer sent within 10 minutes?,SYMBOLIC_TIME,yes,1,1,1,1,1
Inspect if the first reply came under 8 min.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was the first contact from the agent made within 7 sec?,SYMBOLIC_TIME,no,1,1,1,1,1
Examine if the response was sent before the 16 min limit.,SYMBOLIC_TIME,yes,1,1,1,1,1
Was there a response within 12 min?,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the agent's response arrive in under 300 minutes?,SYMBOLIC_TIME,no,1,1,1,1,1
Was there a response w/in 180 seconds?,SYMBOLIC_TIME,no,1,1,1,1,1
Confirm the reply was delivered within 12 sec.,SYMBOLIC_TIME,no,1,1,1,1,1
Did the reply arrive before the 19 sec mark?,SYMBOLIC_TIME,yes,1,1,1,1,1
Did the customer need to wait past 17 seconds for acknowledgment?,SYMBOLIC_TIME,no,1,1,1,1,1
Record cases where more than 19 replies were needed.,SYMBOLIC_COUNT,yes,1,1,0,1,1
Check if more than 6 turns occurred.,SYMBOLIC_COUNT,no,1,1,1,1,1
Pinpoint interactions exceeding 5 back-and-forths.,SYMBOLIC_COUNT,yes,1,1,1,1,1
Did the interaction require over 50 turns?,SYMBOLIC_COUNT,no,1,1,1,1,1
Validate that the conversation stayed under 18 turns.,SYMBOLIC_COUNT,no,1,1,1,1,0
Check if more than 14 turns occurred.,SYMBOLIC_COUNT,no,1,1,1,1,1
Did the agent need more than 16 attempts to address this?,SYMBOLIC_COUNT,yes,1,1,1,1,0
Monitor for exchanges going beyond 10 messages.,SYMBOLIC_COUNT,yes,1,1,1,1,1
Examine if the reply count went above 50.,SYMBOLIC_COUNT,no,1,1,1,1,1
Was the message count above 17?,SYMBOLIC_COUNT,no,1,1,1,1,1
