prompt,category,subcategory,true_params,extracted_params,extracted_any,match_threshold,match_unit,match_subtype,match_value,correct
Verify this came via chat.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""chat""}","{""subtype"": ""channel"", ""value"": ""chat""}",True,True,True,True,True,True
Identify if source was chat.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""chat""}","{""subtype"": ""channel"", ""value"": ""chat""}",True,True,True,True,True,True
Was the conversation shorter or longer than 17 turns?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 17}","{""threshold"": 17}",True,True,True,True,True,True
Confirm the thread had fewer than 50 messages.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 50}","{""threshold"": 50}",True,True,True,True,True,True
Were 15 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
Monitor for late initial responses.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 7, ""unit"": ""seconds""}",,False,False,False,False,False,False
Determine if the exchange surpassed 8 messages.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 8}","{""threshold"": 8}",True,True,True,True,True,True
Flag cases of prolonged back-and-forth.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 18}",,False,False,False,False,False,False
Did they leave a note for the team?,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Did the agent write more than 50 responses?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 50}","{""threshold"": 50}",True,True,True,True,True,True
Assess conversation efficiency.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 9}",,False,False,False,False,False,False
Did the agent reply in a timely manner?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 12, ""unit"": ""hrs""}",,False,False,False,False,False,False
Did the representative respond in less than 120 minutes?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 120, ""unit"": ""minutes""}","{""threshold"": 120.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was a reply provided within 16 min of the initial message?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 16, ""unit"": ""min""}","{""threshold"": 16.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Were behind-the-scenes notes added?,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Did it take more than 12 exchanges to resolve?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 12}","{""threshold"": 12}",True,True,True,True,True,True
Spot unreasonable response delays.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 45, ""unit"": ""hours""}",,False,False,False,False,False,False
Did the conversation drag on unnecessarily,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 25}",,False,False,False,False,False,False
Was the message count above 2?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 2}","{""threshold"": 2}",True,True,True,True,True,True
Was the 300 sec response window honored?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 300, ""unit"": ""sec""}","{""threshold"": 300.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Were 10+ messages exchanged in this conversation?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 10}","{""threshold"": 10}",True,True,True,True,True,True
Does the ticket have the 'urgent' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""urgent""}","{""subtype"": ""tag"", ""value"": ""urgent""}",True,True,True,True,True,True
Check for internal comments.,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Confirm 'retention' is present.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""retention""}","{""subtype"": ""tag"", ""value"": ""retention""}",True,True,True,True,True,True
Was the channel email?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Did the agent need more than 4 attempts to address this?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 4}","{""threshold"": 4}",True,True,True,True,True,True
Verify ticket has 'high-priority' status.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""high-priority""}","{""subtype"": ""tag"", ""value"": ""high-priority""}",True,True,True,True,True,True
Spot instances where the agent exceeded 30 min.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 30, ""unit"": ""min""}","{""threshold"": 30.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Report whether the 22 minutes window was breached.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 22, ""unit"": ""minutes""}","{""threshold"": 22.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Is the 'pending' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""pending""}","{""subtype"": ""tag"", ""value"": ""pending""}",True,True,True,True,True,True
Was the response time reasonable?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 19, ""unit"": ""sec""}",,False,False,False,False,False,False
Did the support rep answer within the 90 sec window...,SYMBOLIC_TIME,time_explicit,"{""threshold"": 90, ""unit"": ""sec""}","{""threshold"": 90.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Is this an 'bug' case?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""bug""}","{""subtype"": ""tag"", ""value"": ""bug""}",True,True,True,True,True,True
Are there internal notes in this conversation?,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Is this a twitter conversation?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""twitter""}","{""subtype"": ""channel"", ""value"": ""twitter""}",True,True,True,True,True,True
Any private comments added?,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Is this a phone ticket?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""phone""}","{""subtype"": ""channel"", ""value"": ""phone""}",True,True,True,True,True,True
Has this been flagged as 'legal'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""legal""}","{""subtype"": ""tag"", ""value"": ""legal""}",True,True,True,True,True,True
Detect if agent added private notes.,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Flag cases with delayed first contact.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 2, ""unit"": ""min""}",,False,False,False,False,False,False
Detect sluggish response patterns.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 18, ""unit"": ""min""}",,False,False,False,False,False,False
Was there more than a 27 hrs gap before the response?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 27, ""unit"": ""hrs""}","{""threshold"": 27.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
is the 'complaint' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""complaint""}","{""subtype"": ""tag"", ""value"": ""complaint""}",True,True,True,True,True,True
Flag slow initial responses.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 26, ""unit"": ""hrs""}",,False,False,False,False,False,False
Detect email conversations.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Was the turn count greater than 10?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 10}","{""threshold"": 10}",True,True,True,True,True,True
Was the initial response to the customer sent within 18 min?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 18, ""unit"": ""min""}","{""threshold"": 18.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the message count above 11?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 11}","{""threshold"": 11}",True,True,True,True,True,True
did the agent take too long to respond?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 120, ""unit"": ""minutes""}",,False,False,False,False,False,False
Evaluate response timeliness.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 15, ""unit"": ""hrs""}",,False,False,False,False,False,False
Count the number of agent responses and compare to 15.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
Identify 'pending' cases.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""pending""}","{""subtype"": ""tag"", ""value"": ""pending""}",True,True,True,True,True,True
Is 'vip' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""vip""}","{""subtype"": ""tag"", ""value"": ""vip""}",True,True,True,True,True,True
Monitor whether the 27 minutes benchmark was hit.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 27, ""unit"": ""minutes""}","{""threshold"": 27.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Note if the response gap was wider than 9 min.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 9, ""unit"": ""min""}","{""threshold"": 9.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Filter for whatsapp tickets.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Was 3 messages enough or did it go longer?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 3}","{""threshold"": 3}",True,True,True,True,True,True
Check if tagged as 'retention',SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""retention""}","{""subtype"": ""tag"", ""value"": ""retention""}",True,True,True,True,True,True
Spot threads that took over 9 replies.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 9}","{""threshold"": 9}",True,True,True,True,True,True
Identify 'refund' cases.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""refund""}","{""subtype"": ""tag"", ""value"": ""refund""}",True,True,True,True,True,True
Was the response time longer or shorter than 29 min?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 29, ""unit"": ""min""}","{""threshold"": 29.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the customer get an answer before 25 hours elapsed?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 25, ""unit"": ""hours""}","{""threshold"": 25.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Evaluate whether the exchange was concise.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 18}",,False,False,False,False,False,False
Were there fewer than 13 messages?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Note interactions requiring more than 7 turns.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 7}","{""threshold"": 7}",True,True,True,True,True,True
Did the agent need more than 30 attempts to address this?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 30}","{""threshold"": 30}",True,True,True,True,True,True
